################################################################################
# WEBOBS OVPF
#
# PROC: {PROC.CO2} CO2 OVPF
# TITLE: PCRN: "CO2 Plaine des Cafres" {RCSPCRN}
# FILENAME: RCSPCRN_all.txt
#
#
# CREATED: 09-Mar-2022 13:20:51 by sysop@pitondescalumets
# COPYRIGHT: 2022, (c) OVPF-IPGP
################################################################################
#
year month day hour minute second CO2_raw_mol CO2_corr_mol CO2_filter7_mol CO2_filter15_mol CO2_filter31_mol CO2_filterSG_1au CO2_filterSG_2au
2014 02 12 00 00 00 0.457001 0.562213 0.580599 0.622551 0.581586 0.689742 -0.205646
2014 02 13 00 00 00 0.428174 0.549273 0.614134 0.625961 0.589876 0.688779 -0.199029
2014 02 14 00 00 00 0.551467 0.641145 0.657923 0.625176 0.600042 0.687777 -0.191939
2014 02 15 00 00 00 0.684206 0.646225 0.689146 0.623034 0.609496 0.686739 -0.185582
2014 02 16 00 00 00 0.680255 0.739001 0.707533 0.619460 0.612647 0.685669 -0.181798
2014 02 17 00 00 00 0.666222 0.864867 0.715505 0.620545 0.613421 0.684568 -0.177758
2014 02 18 00 00 00 0.523154 0.821298 0.691990 0.626923 0.618763 0.683440 -0.171164
2014 02 19 00 00 00 0.409264 0.690922 0.669480 0.630726 0.621349 0.682287 -0.163954
2014 02 20 00 00 00 0.332884 0.605077 0.641244 0.637220 0.625056 0.681111 -0.156178
2014 02 21 00 00 00 0.304139 0.476540 0.592053 0.646988 0.629976 0.679916 -0.149207
2014 02 22 00 00 00 0.344839 0.488655 0.568155 0.655541 0.636986 0.678703 -0.142416
2014 02 23 00 00 00 0.433750 0.541351 0.563706 0.657940 0.643133 0.677476 -0.133519
2014 02 24 00 00 00 0.443524 0.520529 0.571500 0.649033 0.647298 0.676237 -0.128451
2014 02 25 00 00 00 0.508874 0.654012 0.602821 0.633764 0.653763 0.674989 -0.125081
2014 02 26 00 00 00 0.514368 0.659776 0.642932 0.626320 0.656981 0.673736 -0.123146
2014 02 27 00 00 00 0.523648 0.659634 0.663055 0.624681 0.658507 0.672480 -0.123146
2014 02 28 00 00 00 0.519615 0.695791 0.675180 0.628894 0.661047 0.671224 -0.121243
2014 03 01 00 00 00 0.504638 0.769431 0.672582 0.644220 0.664370 0.669973 -0.118925
2014 03 02 00 00 00 0.477557 0.682214 0.679705 0.658685 0.660035 0.668728 -0.124098
2014 03 03 00 00 00 0.469100 0.605404 0.680662 0.670018 0.654164 0.667494 -0.135329
2014 03 04 00 00 00 0.517290 0.635825 0.676732 0.683587 0.645456 0.666273 -0.146357
2014 03 05 00 00 00 0.548895 0.709636 0.667733 0.686964 0.631295 0.665068 -0.158183
2014 03 06 00 00 00 0.554410 0.666334 0.671077 0.686852 0.622011 0.663883 -0.164780
2014 03 07 00 00 00 0.578340 0.668277 0.686211 0.686213 0.614857 0.662720 -0.167547
2014 03 08 00 00 00 0.582641 0.706438 0.698817 0.682558 0.611298 0.661590 -0.166982
2014 03 09 00 00 00 0.584760 0.705627 0.698108 0.674748 0.611890 0.660497 -0.165273
2014 03 10 00 00 00 0.587641 0.711336 0.696931 0.663051 0.608879 0.659443 -0.163224
2014 03 11 00 00 00 0.538772 0.724071 0.694325 0.653638 0.607171 0.658433 -0.161567
2014 03 12 00 00 00 0.488339 0.704672 0.684973 0.642521 0.607263 0.657468 -0.158687
2014 03 13 00 00 00 0.476899 0.658095 0.677353 0.623604 0.603865 0.656553 -0.155627
2014 03 14 00 00 00 0.504101 0.650038 0.648127 0.614748 0.603330 0.655691 -0.149399
2014 03 15 00 00 00 0.529718 0.640976 0.611005 0.601472 0.604735 0.654882 -0.142675
2014 03 16 00 00 00 0.514512 0.652282 0.577346 0.587359 0.607731 0.654129 -0.135531
2014 03 17 00 00 00 0.406445 0.506757 0.544173 0.573310 0.606777 0.653428 -0.127507
2014 03 18 00 00 00 0.352308 0.464213 0.527524 0.552243 0.613675 0.652779 -0.116752
2014 03 19 00 00 00 0.355601 0.469061 0.502975 0.536531 0.624197 0.652182 -0.104373
2014 03 20 00 00 00 0.317843 0.425886 0.480470 0.524446 0.632004 0.651636 -0.094250
2014 03 21 00 00 00 0.337987 0.533495 0.478774 0.517149 0.634477 0.651141 -0.084314
2014 03 22 00 00 00 0.344078 0.469134 0.468935 0.516695 0.640078 0.650695 -0.073443
2014 03 23 00 00 00 0.372700 0.494743 0.471697 0.520841 0.646871 0.650296 -0.065867
2014 03 24 00 00 00 0.381280 0.494889 0.485626 0.529934 0.643804 0.649943 -0.065175
2014 03 25 00 00 00 0.434532 0.395337 0.487791 0.545474 0.636234 0.649633 -0.064047
2014 03 26 00 00 00 0.513422 0.488392 0.512660 0.574263 0.632861 0.649365 -0.058225
2014 03 27 00 00 00 0.563340 0.523393 0.542435 0.605098 0.637117 0.649135 -0.045803
2014 03 28 00 00 00 0.636653 0.548646 0.584405 0.635228 0.643744 0.648943 -0.031166
2014 03 29 00 00 00 0.742807 0.643219 0.633623 0.652081 0.653733 0.648785 -0.015632
2014 03 30 00 00 00 0.770009 0.703171 0.691858 0.676804 0.665546 0.648661 -0.002598
2014 03 31 00 00 00 0.781614 0.788674 0.750172 0.702412 0.678077 0.648567 0.007521
2014 04 01 00 00 00 0.796409 0.739864 0.797200 0.710176 0.688614 0.648501 0.016313
2014 04 02 00 00 00 0.856451 0.896040 0.817638 0.715217 0.706016 0.648460 0.028720
2014 04 03 00 00 00 0.900710 0.931592 0.837181 0.723110 0.715845 0.648444 0.036436
2014 04 04 00 00 00 0.881266 0.877837 0.850065 0.745285 0.724898 0.648451 0.046309
2014 04 05 00 00 00 0.909229 0.786289 0.831707 0.769381 0.740876 0.648481 0.060880
2014 04 06 00 00 00 0.945793 0.839973 0.770980 0.791018 0.754014 0.648531 0.075321
2014 04 07 00 00 00 0.869537 0.878860 0.724579 0.811889 0.763929 0.648600 0.084034
2014 04 08 00 00 00 0.662354 0.611355 0.721461 0.827940 0.774491 0.648688 0.095084
2014 04 09 00 00 00 0.679885 0.470952 0.739148 0.843878 0.786041 0.648793 0.106311
2014 04 10 00 00 00 0.830195 0.606786 0.757404 0.853888 0.802331 0.648912 0.117496
2014 04 11 00 00 00 0.987769 0.856014 0.777029 0.843043 0.814151 0.649045 0.125369
2014 04 12 00 00 00 1.007738 0.910096 0.836756 0.834501 0.820466 0.649189 0.129688
2014 04 13 00 00 00 1.025815 0.967768 0.909324 0.843496 0.833239 0.649343 0.134826
2014 04 14 00 00 00 0.977152 1.016230 0.972098 0.850217 0.844856 0.649504 0.136192
2014 04 15 00 00 00 0.913962 1.029447 0.959655 0.843391 0.847108 0.649673 0.132633
2014 04 16 00 00 00 0.859043 0.978927 0.936742 0.857446 0.847784 0.649850 0.129259
2014 04 17 00 00 00 0.864434 1.046201 0.930090 0.882912 0.848933 0.650033 0.125465
2014 04 18 00 00 00 0.666181 0.768914 0.919314 0.902481 0.843915 0.650222 0.119876
2014 04 19 00 00 00 0.737663 0.749709 0.883175 0.902402 0.839643 0.650416 0.113658
2014 04 20 00 00 00 0.846718 0.921206 0.860782 0.889671 0.835474 0.650614 0.109129
2014 04 21 00 00 00 0.863920 0.940793 0.833174 0.888128 0.835756 0.650815 0.105006
2014 04 22 00 00 00 0.693342 0.776473 0.851945 0.887268 0.836546 0.651020 0.101375
2014 04 23 00 00 00 0.795030 0.822178 0.866962 0.870170 0.838850 0.651228 0.102763
2014 04 24 00 00 00 0.809536 0.852942 0.838095 0.858885 0.849189 0.651441 0.111763
2014 04 25 00 00 00 0.861718 0.900312 0.838643 0.840836 0.862254 0.651660 0.119412
2014 04 26 00 00 00 0.837952 0.854831 0.871051 0.838942 0.873577 0.651885 0.125014
2014 04 27 00 00 00 0.777581 0.719135 0.864022 0.842239 0.878642 0.652115 0.127406
2014 04 28 00 00 00 0.876019 0.944629 0.857838 0.830731 0.884716 0.652348 0.122151
2014 04 29 00 00 00 0.864805 1.003327 0.840002 0.821015 0.875730 0.652583 0.114784
2014 04 30 00 00 00 0.738692 0.772981 0.823671 0.826880 0.870066 0.652819 0.118388
2014 05 01 00 00 00 0.755297 0.809652 0.835102 0.835420 0.858920 0.653053 0.111138
2014 05 02 00 00 00 0.756120 0.775459 0.807096 0.840682 0.852555 0.653285 0.110929
2014 05 03 00 00 00 0.759371 0.740510 0.777342 0.839059 0.846840 0.653515 0.115314
2014 05 04 00 00 00 0.782869 0.799154 0.790410 0.845924 0.844969 0.653740 0.123333
2014 05 05 00 00 00 0.814351 0.748590 0.810499 0.865517 0.843858 0.653957 0.131712
2014 05 06 00 00 00 0.853327 0.795046 0.832844 0.875767 0.841098 0.654164 0.139448
2014 05 07 00 00 00 0.903509 0.864458 0.852194 0.854825 0.838915 0.654360 0.144487
2014 05 08 00 00 00 0.981061 0.950276 0.874858 0.859336 0.835794 0.654540 0.149775
2014 05 09 00 00 00 1.008058 0.931872 0.912635 0.850953 0.831701 0.654705 0.156596
2014 05 10 00 00 00 0.981781 0.875962 0.955968 0.851365 0.827753 0.654851 0.164970
2014 05 11 00 00 00 1.066577 0.957804 0.930933 0.859932 0.822440 0.654979 0.171388
2014 05 12 00 00 00 1.122544 1.013027 0.915270 0.854051 0.819017 0.655085 0.177562
2014 05 13 00 00 00 0.903159 1.098379 0.879848 0.851828 0.820400 0.655171 0.183222
2014 05 14 00 00 00 0.853323 0.689207 0.866372 0.854535 0.818710 0.655233 0.186748
2014 05 15 00 00 00 1.142154 0.840639 0.853689 0.855112 0.817070 0.655273 0.191965
2014 05 16 00 00 00 0.739700 0.683916 0.810532 0.837075 0.822481 0.655290 0.202157
2014 05 17 00 00 00 0.900155 0.781629 0.755799 0.821304 0.826056 0.655284 0.210646
2014 05 18 00 00 00 1.044971 0.869026 0.776721 0.811609 0.834268 0.655258 0.218762
