################################################################################
# WEBOBS OVPF
#
# PROC: {PROC.CGNSSOVPF} GNSS PdF GAMIT/GLOBK
# TITLE: {\fontsize{14}{\bfVariation de distance}}: ref. SNEG
# FILENAME: BASELINES_SNEG_all.txt
#
#
# CREATED: 27-Feb-2019 08:18:50 by sysop@pitondescalumets
# COPYRIGHT: 2019, IPGP
################################################################################
#
year month day hour minute second SNEG-BORG_(cm) SNEG-DERG_(cm) SNEG-DSRG_(cm)
2018 07 05 11 59 00 158732.942504 35994.595009 128094.107860
2018 07 07 11 59 00 158733.305226 35994.728948 128094.440423
2018 07 08 11 59 00 158733.327018 35994.611290 128094.415622
2018 07 09 11 59 00 158733.416736 35994.726598 128094.577087
2018 07 10 11 59 00 158733.381300 35994.724731 128094.548003
2018 07 11 11 59 00 158733.331107 35994.608137 128094.512768
2018 07 12 11 59 00 158734.617784 35995.073094 128095.449084
2018 07 13 11 59 00 158749.400593 35995.832229 128103.913590
2018 07 14 11 59 00 158749.452443 35995.812178 128103.885262
2018 07 15 11 59 00 158749.665407 35995.709700 128103.979957
2018 07 16 11 59 00 158749.672906 35995.822453 128104.088087
2018 07 17 11 59 00 158749.871792 35995.947805 128104.279148
2018 07 18 11 59 00 158750.087288 35996.012764 128104.418867
2018 07 19 11 59 00 158750.254787 35996.134775 128104.669060
2018 07 20 11 59 00 158750.383577 35996.250617 128104.825272
2018 07 22 11 59 00 158750.577312 35996.290147 128105.086004
2018 07 23 11 59 00 158750.669081 35996.405544 128105.115107
2018 07 24 11 59 00 158750.732095 35996.455086 128105.321579
2018 07 25 11 59 00 158751.015882 35996.426613 128105.419619
2018 07 26 11 59 00 158751.145419 35996.462759 128105.495283
2018 07 27 11 59 00 158751.237704 35996.381404 128105.504272
2018 07 28 11 59 00 158751.252597 35996.413999 128105.546446
2018 07 29 11 59 00 158751.290467 35996.427414 128105.603696
2018 07 30 11 59 00 158751.307875 35996.431880 128105.609114
2018 07 31 11 59 00 158751.490998 35996.473826 128105.734961
2018 08 01 11 59 00 158751.482021 35996.492197 128105.681647
2018 08 02 11 59 00 158751.458788 35996.482067 128105.670036
2018 08 03 11 59 00 158751.551561 35996.489794 128105.707763
2018 08 04 11 59 00 158751.635564 35996.446031 128105.945080
2018 08 05 11 59 00 158751.390176 35996.544854 128105.730249
2018 08 06 11 59 00 158751.317568 35996.528296 128105.675244
2018 08 07 11 59 00 158751.362917 35996.519156 128105.644675
2018 08 08 11 59 00 158751.378514 35996.535286 128105.647522
2018 08 09 11 59 00 158751.305491 35996.498750 128105.597478
2018 08 10 11 59 00 158751.369558 35996.534905 128105.695461
2018 08 11 11 59 00 158751.457165 35996.571170 128105.780205
2018 08 12 11 59 00 158751.499328 35996.585574 128105.841279
2018 08 13 11 59 00 158751.370092 35996.599097 128105.758746
2018 08 14 11 59 00 158751.317938 35996.581442 128105.642262
2018 08 15 11 59 00 158751.241098 35996.534877 128105.560022
2018 08 16 11 59 00 158751.308351 35996.554647 128105.600819
2018 08 17 11 59 00 158751.369786 35996.625355 128105.630079
2018 08 18 11 59 00 158751.216078 35996.568135 128105.619937
2018 08 19 11 59 00 158751.246153 35996.582748 128105.633447
2018 08 20 11 59 00 158751.098768 35996.590635 128105.569723
2018 08 21 11 59 00 158751.162387 35996.525664 128105.534819
2018 08 22 11 59 00 158751.133196 35996.510415 128105.451414
2018 08 23 11 59 00 158751.174749 35996.567728 128105.515956
2018 08 24 11 59 00 158751.138750 35996.642430 128105.558166
2018 08 25 11 59 00 158751.087749 35996.606057 128105.526256
2018 08 26 11 59 00 NaN NaN NaN
2018 08 27 11 59 00 158751.105491 35996.671366 128105.592419
2018 08 28 11 59 00 158751.047479 35996.651568 128105.622933
2018 08 29 11 59 00 158751.289387 35996.712742 128105.654707
2018 08 30 11 59 00 158751.228635 35996.600087 128105.564226
2018 08 31 11 59 00 158751.107517 35996.764140 128105.630721
2018 09 01 11 59 00 158751.077480 35996.680614 128105.558762
2018 09 02 11 59 00 158750.993246 35996.661661 128105.544127
2018 09 03 11 59 00 158751.109328 35996.830511 128105.624320
2018 09 04 11 59 00 158751.143422 35996.703534 128105.617664
