################################################################################
# WEBOBS OVPF
#
# PROC: {PROC.CGNSSOVPF} GNSS GAMIT/GLOBK OVPF
# TITLE: {\fontsize{14}{\bfVariation de distance}}: ref. PRAG
# FILENAME: BASELINES_PRAG_all.txt
#
#
# CREATED: 22-Apr-2024 02:01:50 by sysop@pitondescalumets
# COPYRIGHT: MMXXIV, (c) OVPF-IPGP
################################################################################
#
#yyyy mm dd HH MM SS PRAG-GITG_(cm)
2018 02 09 11 59 00 818626.661631
2018 02 10 11 59 00 818626.170113
2018 02 11 11 59 00 818626.683842
2018 02 12 11 59 00 818626.390851
2018 02 13 11 59 00 818626.693535
2018 02 14 11 59 00 818626.849601
2018 02 15 11 59 00 818626.896502
2018 02 16 11 59 00 818626.991890
2018 02 17 11 59 00 818626.961279
2018 02 22 11 59 00 818626.560012
2018 02 24 11 59 00 818626.359547
2018 02 25 11 59 00 818627.001171
2018 02 26 11 59 00 818627.110451
2018 02 27 11 59 00 818627.183485
2018 02 28 11 59 00 818626.722856
2018 03 01 11 59 00 818627.695248
2018 03 02 11 59 00 818627.210569
2018 03 03 11 59 00 818627.066561
2018 03 04 11 59 00 818626.961189
2018 03 05 11 59 00 818625.571768
2018 03 06 11 59 00 818626.828466
2018 03 07 11 59 00 818627.313254
2018 03 08 11 59 00 818626.909530
2018 03 09 11 59 00 818627.086490
2018 03 10 11 59 00 818626.997658
2018 03 11 11 59 00 818627.070353
2018 03 12 11 59 00 818627.075306
2018 03 13 11 59 00 818627.252757
2018 03 14 11 59 00 818627.059518
2018 03 15 11 59 00 818627.384368
2018 03 16 11 59 00 818627.315478
2018 03 17 11 59 00 818627.184833
2018 03 18 11 59 00 818626.922858
2018 03 22 11 59 00 818627.180281
2018 03 23 11 59 00 818627.006354
2018 03 24 11 59 00 818627.018447
2018 03 25 11 59 00 818627.042482
2018 03 26 11 59 00 NaN
2018 03 27 11 59 00 NaN
2018 03 28 11 59 00 818626.856394
2018 03 29 11 59 00 818626.946540
2018 03 30 11 59 00 818627.001778
2018 03 31 11 59 00 818627.238722
2018 04 01 11 59 00 818627.357197
2018 04 02 11 59 00 818626.915612
2018 04 03 11 59 00 818626.252037
2018 04 04 11 59 00 818626.447669
2018 04 05 11 59 00 818626.331738
2018 04 06 11 59 00 818626.762035
2018 04 07 11 59 00 818626.824964
2018 04 08 11 59 00 818627.071626
2018 04 09 11 59 00 818626.404210
2018 04 10 11 59 00 818626.270670
2018 04 11 11 59 00 818626.370254
2018 04 13 11 59 00 818627.067897
2018 04 14 11 59 00 818626.688447
2018 04 15 11 59 00 818626.545402
2018 04 16 11 59 00 818626.415290
2018 04 17 11 59 00 818626.784821
2018 04 18 11 59 00 818627.353579
2018 04 22 11 59 00 818626.974680
