################################################################################
# WEBOBS OVPF
#
# PROC: {PROC.CGNSSOVPF} GNSS GAMIT/GLOBK OVPF
# TITLE: {\fontsize{14}{\bfVariation de distance}}: ref. FOAG
# FILENAME: BASELINES_FOAG_all.txt
#
#
# CREATED: 11-Jan-2022 09:20:47 by sysop@pitondescalumets
# COPYRIGHT: 2022, (c) OVPF-IPGP
################################################################################
#
year month day hour minute second FOAG-ENOG_(cm) FOAG-FJAG_(cm)
2020 02 21 11 59 00 325865.521848 399639.391209
2020 02 22 11 59 00 325865.642437 399639.553490
2020 02 23 11 59 00 325865.677818 399639.846668
2020 02 24 11 59 00 325865.819079 399639.855408
2020 02 25 11 59 00 325865.802296 399640.252878
2020 02 26 11 59 00 325866.388517 399640.221564
2020 02 27 11 59 00 325866.228735 399640.707730
2020 02 28 11 59 00 325866.329267 399640.661415
2020 02 29 11 59 00 325866.522208 399640.780430
2020 03 01 11 59 00 325866.886349 399641.154631
2020 03 02 11 59 00 325866.652909 399640.977989
2020 03 03 11 59 00 325866.684770 399641.127584
2020 03 04 11 59 00 325866.845327 399640.913176
2020 03 05 11 59 00 325866.679363 399641.524782
2020 03 06 11 59 00 325866.547597 399641.251926
2020 03 07 11 59 00 325867.082891 399641.692701
2020 03 08 11 59 00 325866.622803 399641.736800
2020 03 09 11 59 00 325867.026459 399642.121545
2020 03 10 11 59 00 325867.166634 399642.222652
2020 03 11 11 59 00 325867.416959 399642.248792
2020 03 12 11 59 00 325868.164870 399642.140084
2020 03 13 11 59 00 325867.161502 399641.913552
2020 03 14 11 59 00 325867.399271 399641.830387
2020 03 15 11 59 00 325867.182823 399641.826914
2020 03 16 11 59 00 325867.096235 399641.852165
2020 03 17 11 59 00 325867.056748 399642.030634
2020 03 18 11 59 00 325867.045761 399642.072581
2020 03 19 11 59 00 325866.965664 399641.680724
2020 03 20 11 59 00 325867.009962 399641.777196
2020 03 21 11 59 00 325866.861374 399641.660502
2020 03 22 11 59 00 325867.022163 399641.492243
2020 03 23 11 59 00 325866.935696 399641.615693
2020 03 24 11 59 00 325867.204329 399641.836924
2020 03 25 11 59 00 325867.245699 399641.575947
2020 03 26 11 59 00 325866.881384 399641.577726
2020 03 27 11 59 00 325866.931131 399641.595359
2020 03 28 11 59 00 325866.773031 399641.640457
2020 03 29 11 59 00 325866.298439 399641.073531
2020 03 30 11 59 00 325866.881731 399641.314739
2020 03 31 11 59 00 325867.356949 399641.803845
2020 04 01 11 59 00 325867.461008 399642.156858
2020 04 02 11 59 00 325866.990298 399641.937390
2020 04 03 11 59 00 325865.993456 399640.066729
2020 04 04 11 59 00 325865.482591 399639.188509
2020 04 05 11 59 00 325864.149952 399637.441574
2020 04 06 11 59 00 325863.745660 399637.416231
2020 04 07 11 59 00 325863.615298 399637.311531
2020 04 08 11 59 00 325863.923348 399637.069275
2020 04 09 11 59 00 325863.751707 399636.948353
2020 04 10 11 59 00 325863.896718 399637.273201
2020 04 11 11 59 00 325863.781583 399637.895275
2020 04 12 11 59 00 325863.984887 399637.783729
2020 04 13 11 59 00 325864.110926 399637.962745
2020 04 14 11 59 00 325863.910828 399638.177182
2020 04 15 11 59 00 325864.516880 399638.390709
2020 04 16 11 59 00 325864.684312 399638.475188
2020 04 17 11 59 00 325864.759643 399638.959942
2020 04 18 11 59 00 325865.262127 399639.571708
2020 04 19 11 59 00 325865.202205 399638.890112
2020 04 20 11 59 00 325865.119191 399639.334276
