################################################################################
# WEBOBS OVPF
#
# PROC: {PROC.CGNSSOVPF} GNSS PdF GAMIT/GLOBK
# TITLE: {\fontsize{14}{\bfVariation de distance}}: ref. SNEG
# FILENAME: BASELINES_SFR0,SNEG_all.txt
#
#
# CREATED: 21-Mar-2020 08:42:13 by sysop@pitondescalumets
# COPYRIGHT: 2020, (c) OVPF-IPGP
################################################################################
#
#yyyy mm dd HH MM SS SNEG-BORG_(cm) SNEG-DERG_(cm) SNEG-DSRG_(cm)
2005 04 07 11 59 00 158568.213311 NaN 128033.279787
2005 04 08 11 59 00 158568.249311 NaN 128033.467753
2005 04 09 11 59 00 158568.349582 NaN 128033.565289
2005 04 10 11 59 00 158568.229816 NaN 128033.591830
2005 04 11 11 59 00 158568.374515 NaN 128033.312318
2005 04 12 11 59 00 158568.836877 NaN 128033.842030
2005 04 13 11 59 00 158568.305117 NaN 128033.455489
2005 04 19 11 59 00 158568.445202 NaN 128033.485895
2005 04 20 11 59 00 158568.487032 NaN 128033.690712
2005 04 21 11 59 00 158568.236659 NaN 128033.448674
2005 04 22 11 59 00 158568.416859 NaN 128033.732056
2005 04 23 11 59 00 158568.447505 NaN 128033.714384
2005 04 24 11 59 00 158568.059288 NaN 128033.610328
2005 04 25 11 59 00 158568.082278 NaN 128033.638976
2005 04 26 11 59 00 158568.423679 NaN 128033.336498
2005 04 27 11 59 00 158568.358012 NaN 128033.498997
2005 04 28 11 59 00 158568.206693 NaN 128033.251355
2005 04 29 11 59 00 158568.230257 NaN 128033.756433
2005 04 30 11 59 00 158568.324314 NaN 128033.464965
2005 05 01 11 59 00 158568.233166 NaN 128033.365505
2005 05 02 11 59 00 158567.641896 NaN 128033.569683
2005 05 03 11 59 00 158568.624171 NaN 128033.557635
2005 05 04 11 59 00 158568.482048 NaN 128033.502618
2005 05 05 11 59 00 158568.199134 NaN 128033.420054
2005 05 06 11 59 00 158567.837950 NaN 128033.484610
2005 05 07 11 59 00 158568.029583 NaN 128033.093633
2005 05 08 11 59 00 158567.998880 NaN 128033.264077
2005 05 09 11 59 00 158567.954222 NaN 128033.144551
2005 05 10 11 59 00 158568.024600 NaN 128033.289523
2005 05 11 11 59 00 158568.118061 NaN 128033.218735
2005 05 12 11 59 00 158568.106745 NaN 128033.568567
2005 05 13 11 59 00 158568.000250 NaN 128033.689027
2005 05 19 11 59 00 158567.397923 NaN 128032.953795
2005 05 20 11 59 00 158567.627283 NaN 128032.901621
2005 05 21 11 59 00 158568.044359 NaN 128032.895700
2005 05 22 11 59 00 158567.699808 NaN 128032.629153
2005 05 23 11 59 00 158567.710718 NaN 128032.703979
2005 05 24 11 59 00 158567.656105 NaN 128032.734761
2005 05 25 11 59 00 158567.642094 NaN 128032.735843
2005 05 26 11 59 00 158567.500649 NaN 128032.659984
2005 05 27 11 59 00 158567.514982 NaN 128032.660352
2005 05 28 11 59 00 158567.636598 NaN 128032.737556
2005 05 29 11 59 00 158567.769684 NaN 128032.715704
2005 05 30 11 59 00 158568.511669 NaN 128032.927803
2005 05 31 11 59 00 158567.634463 NaN 128032.838384
2005 06 01 11 59 00 158567.419743 NaN 128032.596144
2005 06 02 11 59 00 158567.502950 NaN 128032.720737
2005 06 03 11 59 00 158567.560616 NaN 128032.912681
2005 06 04 11 59 00 158567.390279 NaN 128033.079481
2005 06 05 11 59 00 158567.367253 NaN 128032.601245
2005 06 06 11 59 00 158567.408213 NaN 128032.549034
2005 06 07 11 59 00 158567.335249 NaN 128032.522456
2005 06 08 11 59 00 158567.547798 NaN 128032.696242
2005 06 09 11 59 00 158567.373799 NaN 128032.715479
2005 06 10 11 59 00 158567.349498 NaN 128032.790999
2005 06 11 11 59 00 158567.435663 NaN 128032.990378
2005 06 12 11 59 00 158567.725818 NaN 128033.685390
2005 06 13 11 59 00 158568.023856 NaN 128033.865428
2005 06 19 11 59 00 158570.045742 NaN 128035.095185
2005 06 20 11 59 00 158569.983682 NaN 128035.733294
2005 06 21 11 59 00 158569.826559 NaN 128035.940377
2005 06 22 11 59 00 158570.102650 NaN 128035.747505
2005 06 23 11 59 00 158569.921282 NaN 128035.583625
2005 06 24 11 59 00 158570.365825 NaN 128035.423667
2005 06 25 11 59 00 158570.353507 NaN 128035.486164
2005 06 26 11 59 00 158570.377737 NaN 128035.469646
2005 06 27 11 59 00 158570.037076 NaN 128035.430780
2005 06 28 11 59 00 158570.085547 NaN 128035.649353
2005 06 29 11 59 00 158570.008228 NaN 128035.621452
2005 06 30 11 59 00 158570.042189 NaN 128035.882681
2005 07 01 11 59 00 158570.388302 NaN 128035.504725
2005 07 02 11 59 00 158570.522795 NaN 128035.628109
2005 07 03 11 59 00 158570.675615 NaN 128035.729289
2005 07 04 11 59 00 158570.536783 NaN 128035.788058
2005 07 05 11 59 00 158570.329661 NaN 128035.819073
2005 07 06 11 59 00 158570.027467 NaN 128035.995546
2005 07 07 11 59 00 158570.231505 NaN 128036.214753
2005 07 08 11 59 00 158570.349556 NaN 128036.560763
2005 07 09 11 59 00 158570.380074 NaN 128036.515793
2005 07 10 11 59 00 158570.838168 NaN 128036.150253
2005 07 11 11 59 00 158570.974711 NaN 128036.110700
2005 07 12 11 59 00 158571.003401 NaN 128036.184991
2005 07 13 11 59 00 158571.048630 NaN 128036.254379
2005 07 19 11 59 00 158571.239708 NaN 128037.019023
2005 07 20 11 59 00 158571.401970 NaN 128036.907422
2005 07 21 11 59 00 158571.377011 NaN 128036.717312
2005 07 22 11 59 00 158571.586973 NaN 128036.839573
2005 07 23 11 59 00 158571.969775 NaN 128037.080009
2005 07 24 11 59 00 158571.611715 NaN 128036.972864
2005 07 25 11 59 00 158571.800047 NaN 128037.039527
2005 07 26 11 59 00 158571.874454 NaN 128037.106039
2005 07 27 11 59 00 158571.914901 NaN 128037.156458
2005 07 28 11 59 00 158571.991706 NaN 128037.289180
2005 07 29 11 59 00 158571.700658 NaN 128037.269999
2005 07 30 11 59 00 158571.741490 NaN 128037.696820
2005 07 31 11 59 00 158572.042576 NaN 128037.894570
2005 08 01 11 59 00 158571.960371 NaN 128037.913453
