################################################################################
# WEBOBS OVPF
#
# PROC: {PROC.CGNSSOVPF} GNSS PdF GAMIT/GLOBK
# TITLE: {\fontsize{14}{\bfVariation de distance}}: ref. FJAG
# FILENAME: BASELINES_FJAG_all.txt
#
#
# CREATED: 10-Apr-2020 08:42:40 by sysop@pitondescalumets
# COPYRIGHT: 2020, (c) OVPF-IPGP
################################################################################
#
year month day hour minute second FJAG-FERG_(cm) FJAG-FOAG_(cm)
2009 07 29 11 59 00 142039.081833 NaN
2009 07 30 11 59 00 142038.791907 NaN
2009 07 31 11 59 00 142038.931752 NaN
2009 08 01 11 59 00 142038.583640 NaN
2009 08 02 11 59 00 142038.814340 NaN
2009 08 03 11 59 00 142038.862414 NaN
2009 08 04 11 59 00 142038.841608 NaN
2009 08 05 11 59 00 142038.851299 NaN
2009 08 06 11 59 00 142038.910703 NaN
2009 08 07 11 59 00 142039.018242 NaN
2009 08 08 11 59 00 142038.957642 NaN
2009 08 09 11 59 00 142039.046142 NaN
2009 08 10 11 59 00 142038.957877 NaN
2009 08 11 11 59 00 142039.007000 NaN
2009 08 12 11 59 00 142039.038386 NaN
2009 08 13 11 59 00 142038.928621 NaN
2009 08 19 11 59 00 142038.928428 NaN
2009 08 20 11 59 00 142039.057331 NaN
2009 08 21 11 59 00 142039.060234 NaN
2009 08 22 11 59 00 142039.029203 NaN
2009 08 23 11 59 00 142039.010107 NaN
2009 08 24 11 59 00 142039.007031 NaN
2009 08 25 11 59 00 142038.848822 NaN
2009 08 26 11 59 00 142038.777239 NaN
2009 08 27 11 59 00 142038.847384 NaN
2009 08 28 11 59 00 142039.010679 NaN
2009 08 29 11 59 00 142038.738802 NaN
2009 08 30 11 59 00 142038.843723 NaN
2009 08 31 11 59 00 142038.797455 NaN
2009 09 01 11 59 00 142038.790535 NaN
2009 09 02 11 59 00 142039.009084 NaN
2009 09 03 11 59 00 142039.091634 NaN
2009 09 04 11 59 00 142038.807370 NaN
2009 09 05 11 59 00 142038.932300 NaN
2009 09 06 11 59 00 142039.034182 NaN
2009 09 07 11 59 00 142039.057124 NaN
2009 09 08 11 59 00 142038.869458 NaN
2009 09 09 11 59 00 142038.973429 NaN
2009 09 10 11 59 00 142038.985310 NaN
2009 09 11 11 59 00 142038.769796 NaN
2009 09 12 11 59 00 142038.962979 NaN
2009 09 13 11 59 00 142038.905053 NaN
2009 09 19 11 59 00 142038.795076 NaN
2009 09 20 11 59 00 142038.734121 NaN
2009 09 21 11 59 00 142038.898733 NaN
2009 09 22 11 59 00 142038.952543 NaN
2009 09 23 11 59 00 142038.643064 NaN
2009 09 24 11 59 00 142038.880283 NaN
2009 09 25 11 59 00 142038.804257 NaN
2009 09 26 11 59 00 142038.708432 NaN
2009 09 27 11 59 00 142038.703291 NaN
2009 09 28 11 59 00 142039.013357 NaN
2009 09 29 11 59 00 142038.708145 NaN
2009 09 30 11 59 00 142038.739343 NaN
2009 10 01 11 59 00 142038.749983 NaN
2009 10 02 11 59 00 142038.692564 NaN
2009 10 03 11 59 00 142038.828680 NaN
2009 10 04 11 59 00 142038.984177 NaN
2009 10 05 11 59 00 142039.061103 NaN
2009 10 06 11 59 00 142039.246135 NaN
2009 10 06 11 59 00 142039.246135 NaN
2009 10 07 11 59 00 142039.415110 NaN
2009 10 07 11 59 00 142039.415110 NaN
2009 10 08 11 59 00 142039.607659 NaN
2009 10 09 11 59 00 142039.683503 NaN
2009 10 10 11 59 00 142039.636984 NaN
2009 10 11 11 59 00 142039.666673 NaN
2009 10 12 11 59 00 142039.702392 NaN
2009 10 13 11 59 00 142039.905621 NaN
2009 10 13 11 59 00 142039.905621 NaN
2009 10 19 11 59 00 142040.694518 NaN
2009 10 20 11 59 00 142040.885401 NaN
2009 10 21 11 59 00 142040.859479 NaN
2009 10 22 11 59 00 142041.098302 NaN
2009 10 23 11 59 00 142040.689835 NaN
2009 10 24 11 59 00 142041.089315 NaN
2009 10 25 11 59 00 142041.462213 NaN
2009 10 26 11 59 00 142041.042582 NaN
2009 10 27 11 59 00 142041.285611 NaN
2009 10 28 11 59 00 142041.232341 NaN
2009 10 29 11 59 00 142041.350121 NaN
2009 10 30 11 59 00 142041.306796 NaN
2009 10 31 11 59 00 142041.271326 NaN
2009 11 01 11 59 00 142041.398458 NaN
2009 11 02 11 59 00 142041.770302 NaN
2009 11 03 11 59 00 142041.385186 NaN
2009 11 04 11 59 00 142041.548451 NaN
2009 11 05 11 59 00 142042.059490 NaN
2009 11 06 11 59 00 142042.983185 NaN
2009 11 07 11 59 00 142043.003892 NaN
2009 11 08 11 59 00 142043.199322 NaN
2009 11 09 11 59 00 142043.379235 NaN
2009 11 10 11 59 00 142043.247448 NaN
2009 11 11 11 59 00 142043.184107 NaN
2009 11 12 11 59 00 142043.327219 NaN
2009 11 13 11 59 00 142043.420111 NaN
2009 11 19 11 59 00 142043.619396 NaN
2009 11 20 11 59 00 142043.523631 NaN
2009 11 21 11 59 00 142043.544251 NaN
2009 11 22 11 59 00 142043.716584 NaN
2009 11 23 11 59 00 142043.780227 NaN
2009 11 24 11 59 00 142043.826393 NaN
2009 11 25 11 59 00 142043.983138 NaN
2009 11 26 11 59 00 142043.865622 NaN
2009 11 27 11 59 00 142043.751094 NaN
2009 11 28 11 59 00 142043.825674 NaN
2009 11 29 11 59 00 142043.760948 NaN
2009 11 30 11 59 00 142043.901649 NaN
2009 12 01 11 59 00 142043.831875 NaN
2009 12 02 11 59 00 142044.027870 NaN
2009 12 03 11 59 00 142044.023636 NaN
2009 12 04 11 59 00 142043.405187 NaN
2009 12 05 11 59 00 142043.959531 NaN
2009 12 06 11 59 00 142043.955235 NaN
2009 12 07 11 59 00 142043.888450 NaN
2009 12 08 11 59 00 142043.951594 NaN
2009 12 09 11 59 00 142043.647184 NaN
2009 12 10 11 59 00 142043.745288 NaN
2009 12 11 11 59 00 142044.030935 NaN
2009 12 12 11 59 00 142044.008838 NaN
2009 12 13 11 59 00 142043.832139 NaN
2009 12 19 11 59 00 142044.904156 NaN
2009 12 20 11 59 00 142045.138090 NaN
2009 12 21 11 59 00 142044.875430 NaN
2009 12 22 11 59 00 142044.789519 NaN
2009 12 23 11 59 00 142045.253656 NaN
2009 12 24 11 59 00 142045.270930 NaN
2009 12 25 11 59 00 142045.326637 NaN
2009 12 26 11 59 00 142045.277785 NaN
2009 12 27 11 59 00 142045.267475 NaN
2009 12 28 11 59 00 142045.241517 NaN
2009 12 29 11 59 00 142045.497553 NaN
2009 12 30 11 59 00 142045.524863 NaN
2009 12 31 11 59 00 142045.497542 NaN
2010 01 01 11 59 00 142045.601960 NaN
2010 01 02 11 59 00 142045.899102 NaN
2010 01 03 11 59 00 142045.848777 NaN
2010 01 04 11 59 00 142045.625890 NaN
2010 01 05 11 59 00 142045.910302 NaN
2010 01 06 11 59 00 142045.539149 NaN
2010 01 07 11 59 00 142045.078214 NaN
2010 01 08 11 59 00 142045.450129 NaN
