################################################################################
# WEBOBS OVPF
#
# PROC: {PROC.GIPSYX} GNSS GIPSYX PdF OVPF
# TITLE: {\fontsize{14}{\bfVariation de distance}}: ref. BOMG
# FILENAME: BASELINES_BOMG_all.txt
#
#
# CREATED: 19-Jan-2022 08:52:40 by sysop@pitondescalumets
# COPYRIGHT: 2022, OVPF-IPGP
################################################################################
#
year month day hour minute second BOMG-BORG_(cm) BOMG-DERG_(cm) BOMG-DSRG_(cm)
2020 07 29 23 55 00 78404.791786 118985.422174 125325.341426
2020 07 30 23 55 00 78404.886362 118985.307132 125325.154749
2020 07 31 23 55 00 78404.977303 118985.439020 125325.351451
2020 08 01 23 55 00 78404.787141 118985.406710 125325.335187
2020 08 02 23 55 00 78404.865406 118985.400761 125325.295479
2020 08 03 23 55 00 78404.905828 118985.400771 125325.326856
2020 08 04 23 55 00 78404.872314 118985.386751 125325.298704
2020 08 05 23 55 00 78404.888903 118985.424931 125325.313438
2020 08 06 23 55 00 78404.909314 118985.511083 125325.451728
2020 08 07 23 55 00 78404.959571 118985.482864 125325.444607
2020 08 08 23 55 00 78404.980064 118985.246818 125325.287075
2020 08 09 23 55 00 78404.908801 118985.481266 125325.305708
2020 08 10 23 55 00 78404.873415 118985.434293 125325.281836
2020 08 11 23 55 00 78404.801761 118985.454237 125325.315271
2020 08 12 23 55 00 78404.879954 118985.465551 125325.394740
2020 08 13 23 55 00 78404.958968 118985.371746 125325.323145
2020 08 14 23 55 00 78404.970443 118985.245573 125325.325461
2020 08 15 23 55 00 78404.881949 118985.438329 125325.288717
2020 08 16 23 55 00 78404.875055 118985.502358 125325.322386
2020 08 17 23 55 00 78404.830036 118985.475144 125325.288868
2020 08 18 23 55 00 78404.955966 118985.419243 125325.337705
2020 08 19 23 55 00 78405.049534 118985.328596 125325.298821
2020 08 20 23 55 00 78404.857379 118985.381694 125325.235564
2020 08 21 23 55 00 78405.025091 118985.349087 125325.336036
