################################################################################
# WEBOBS OVPF
#
# PROC: {PROC.GIPSYX} GNSS GIPSYX PdF OVPF
# TITLE: {\fontsize{14}{\bfVariation de distance}}: ref. SNEG
# FILENAME: BASELINES_SNEG_all.txt
#
#
# CREATED: 01-Feb-2024 13:08:01 by sysop@pitondescalumets
# COPYRIGHT: MMXXIV, OVPF-IPGP
################################################################################
#
#yyyy mm dd HH MM SS SNEG-BORG_(cm)_gipsyx SNEG-DERG_(cm)_gipsyx SNEG-DSRG_(cm)_gipsyx
2007 02 16 23 55 00 NaN NaN NaN
2007 02 17 23 55 00 NaN NaN NaN
2007 02 18 23 55 00 NaN NaN NaN
2007 02 19 23 55 00 NaN NaN NaN
2007 02 20 23 55 00 NaN NaN NaN
2007 02 21 23 55 00 NaN NaN NaN
2007 02 22 23 55 00 NaN NaN NaN
2007 02 23 23 55 00 NaN NaN NaN
2007 02 24 09 50 00 NaN NaN NaN
2007 02 28 12 00 00 NaN NaN NaN
2007 03 01 23 55 00 NaN NaN NaN
2007 03 02 23 55 00 NaN NaN NaN
2007 03 03 23 55 00 NaN NaN NaN
2007 03 04 23 55 00 NaN NaN NaN
2007 03 05 23 55 00 NaN NaN NaN
2007 03 06 23 55 00 NaN NaN NaN
2007 03 07 23 55 00 NaN NaN NaN
2007 03 08 23 55 00 NaN NaN NaN
2007 03 09 23 55 00 NaN NaN NaN
2007 03 10 23 55 00 NaN NaN NaN
2007 03 11 23 55 00 NaN NaN NaN
2007 03 12 23 55 00 NaN NaN NaN
2007 03 13 23 55 00 NaN NaN NaN
2007 03 14 23 55 00 NaN NaN NaN
2007 03 15 23 55 00 NaN NaN NaN
2007 03 16 23 55 00 NaN NaN NaN
2007 03 17 23 55 00 NaN NaN NaN
2007 03 18 23 55 00 NaN NaN NaN
2007 03 19 23 55 00 NaN NaN NaN
2007 03 20 23 55 00 NaN NaN NaN
2007 03 21 23 55 00 NaN NaN NaN
2007 03 22 23 55 00 NaN NaN NaN
2007 03 23 23 55 00 NaN NaN NaN
2007 03 24 23 55 00 NaN NaN NaN
2007 03 25 23 55 00 NaN NaN NaN
2007 03 26 23 55 00 NaN NaN NaN
2007 03 27 23 55 00 NaN NaN NaN
2007 03 28 23 55 00 NaN NaN NaN
2007 03 29 23 55 00 NaN NaN NaN
2007 03 30 23 55 00 NaN NaN NaN
2007 03 31 23 55 00 NaN NaN NaN
2007 04 01 23 55 00 NaN NaN NaN
2007 04 02 23 55 00 NaN NaN NaN
2007 04 03 23 55 00 NaN NaN NaN
2007 04 04 23 55 00 NaN NaN NaN
2007 04 05 23 55 00 NaN NaN NaN
2007 04 06 23 55 00 NaN NaN NaN
2007 04 07 23 55 00 NaN NaN NaN
2007 04 08 03 25 00 NaN NaN NaN
2007 04 10 21 25 00 NaN NaN NaN
2007 04 11 21 00 00 NaN NaN NaN
2007 04 12 23 55 00 NaN NaN NaN
2007 04 13 14 20 00 NaN NaN NaN
2007 04 17 23 55 00 NaN NaN NaN
2007 04 18 23 55 00 NaN NaN NaN
2007 04 19 23 55 00 NaN NaN NaN
2007 04 20 23 55 00 NaN NaN NaN
2007 04 21 23 55 00 NaN NaN NaN
2007 04 22 23 55 00 NaN NaN NaN
2007 04 23 23 55 00 NaN NaN NaN
2007 04 24 23 55 00 NaN NaN NaN
2007 04 25 23 55 00 NaN NaN NaN
2007 04 26 23 55 00 NaN NaN NaN
2007 04 27 23 55 00 NaN NaN NaN
2007 04 28 23 55 00 NaN NaN NaN
2007 04 29 23 55 00 NaN NaN NaN
2007 04 30 23 55 00 NaN NaN NaN
2007 05 01 23 55 00 NaN NaN NaN
2007 05 02 23 55 00 NaN NaN NaN
2007 05 03 23 55 00 NaN NaN NaN
2007 05 04 23 55 00 NaN NaN NaN
2007 05 05 23 55 00 NaN NaN NaN
2007 05 06 23 55 00 NaN NaN NaN
2007 05 07 23 55 00 NaN NaN NaN
2007 05 08 23 55 00 NaN NaN NaN
2007 05 09 23 55 00 NaN NaN NaN
2007 05 10 23 55 00 NaN NaN NaN
2007 05 11 23 55 00 NaN NaN NaN
2007 05 12 23 55 00 NaN NaN NaN
2007 05 13 23 55 00 NaN NaN NaN
2007 05 14 23 55 00 NaN NaN NaN
2007 05 15 23 55 00 NaN NaN NaN
2007 05 16 23 55 00 NaN NaN NaN
2007 05 17 23 55 00 NaN NaN NaN
2007 05 18 23 55 00 NaN NaN NaN
2007 05 19 23 55 00 NaN NaN NaN
2007 05 20 23 55 00 NaN NaN NaN
2007 05 21 23 55 00 NaN NaN NaN
2007 05 22 23 55 00 NaN NaN NaN
2007 05 23 23 55 00 NaN NaN NaN
2007 05 24 23 55 00 NaN NaN NaN
2007 05 25 23 55 00 NaN NaN NaN
2007 05 26 23 55 00 NaN NaN NaN
2007 05 27 23 55 00 NaN NaN NaN
2007 05 28 23 55 00 NaN NaN NaN
2007 05 29 23 55 00 NaN NaN NaN
2007 05 30 23 55 00 NaN NaN NaN
2007 05 31 23 55 00 NaN NaN NaN
2007 06 01 23 55 00 NaN NaN NaN
2007 06 02 23 55 00 NaN NaN NaN
2007 06 03 23 55 00 NaN NaN NaN
2007 06 04 23 55 00 NaN NaN NaN
2007 06 05 23 55 00 NaN NaN NaN
2007 06 06 23 55 00 NaN NaN NaN
2007 06 07 23 55 00 NaN NaN NaN
2007 06 08 23 55 00 NaN NaN NaN
2007 06 09 23 55 00 NaN NaN NaN
2007 06 10 23 55 00 NaN NaN NaN
2007 06 11 23 55 00 NaN NaN NaN
2007 06 12 23 55 00 NaN NaN NaN
2007 06 13 23 55 00 NaN NaN NaN
2007 06 14 23 55 00 NaN NaN NaN
2007 06 15 23 55 00 NaN NaN NaN
2007 06 16 23 55 00 NaN NaN NaN
2007 06 17 23 55 00 NaN NaN NaN
2007 06 18 23 55 00 NaN NaN NaN
2007 06 19 23 55 00 NaN NaN NaN
2007 06 20 23 55 00 NaN NaN NaN
2007 06 21 23 55 00 NaN NaN NaN
2007 06 22 23 55 00 NaN NaN NaN
2007 06 23 23 55 00 NaN NaN NaN
2007 06 24 23 55 00 NaN NaN NaN
2007 06 25 23 55 00 NaN NaN NaN
2007 06 26 23 55 00 NaN NaN NaN
2007 06 27 23 55 00 NaN NaN NaN
2007 06 28 23 55 00 NaN NaN NaN
2007 06 29 23 55 00 NaN NaN NaN
2007 06 30 23 55 00 NaN NaN NaN
2007 07 01 23 55 00 NaN NaN NaN
2007 07 02 08 15 00 NaN NaN NaN
2007 07 03 23 55 00 NaN 41612.531737 NaN
2007 07 04 23 55 00 NaN 41612.728140 NaN
2007 07 05 23 55 00 NaN 41612.666773 NaN
2007 07 06 23 55 00 NaN 41612.640035 NaN
2007 07 07 23 55 00 NaN 41612.482043 NaN
2007 07 08 23 55 00 NaN 41612.440872 NaN
2007 07 09 23 55 00 NaN 41612.504541 NaN
2007 07 10 23 55 00 NaN 41612.562392 NaN
2007 07 11 23 55 00 NaN 41612.255875 NaN
2007 07 12 23 55 00 NaN 41612.684307 NaN
2007 07 13 23 55 00 NaN 41612.261104 NaN
2007 07 14 23 55 00 NaN 41612.293256 NaN
2007 07 15 23 55 00 NaN 41612.352872 NaN
