################################################################################
# WEBOBS OVPF
#
# PROC: {PROC.CGNSSOVPF} GNSS GAMIT/GLOBK OVPF
# TITLE: {\fontsize{14}{\bfVariation de distance}}: ref. BOMG
# FILENAME: BASELINES_BOMG_all.txt
#
#
# CREATED: 10-Jan-2024 13:34:35 by sysop@pitondescalumets
# COPYRIGHT: MMXXIV, (c) OVPF-IPGP
################################################################################
#
#yyyy mm dd HH MM SS BOMG-BORG_(cm) BOMG-DERG_(cm) BOMG-DSRG_(cm) BOMG-SNEG_(cm)
2014 03 27 11 59 00 88071.920629 107967.103518 112017.191625 90445.618614
2014 03 29 11 59 00 88071.950813 107967.028342 112017.169032 90445.412541
2014 03 30 11 59 00 88071.998263 107967.128392 112017.310453 90445.547177
2014 03 31 11 59 00 88071.904580 107967.034272 112017.175440 90445.536958
2014 04 01 11 59 00 88071.888587 107966.790788 112017.008930 90445.376691
2014 04 02 11 59 00 88072.039773 107966.849811 112017.059312 90445.109661
2014 04 03 11 59 00 88071.893588 107966.968283 112017.179280 90445.448457
2014 04 04 11 59 00 88071.829473 107967.061431 112017.328526 90445.457957
2014 04 06 11 59 00 88072.059733 107966.923608 112017.233487 90445.497085
2014 04 07 11 59 00 88071.894913 107967.240534 112017.076299 90445.769582
2014 04 08 11 59 00 88072.072418 107967.236401 112017.331170 90445.889080
2014 04 09 11 59 00 88071.805228 107966.781007 112017.150795 90445.232321
2014 04 10 11 59 00 88071.858134 107966.786587 112017.079293 90445.273902
2014 04 11 11 59 00 88071.759093 107966.829356 112016.903805 90445.158098
2014 04 12 11 59 00 88071.873907 107966.859770 112016.936440 90445.273064
2014 04 13 11 59 00 88072.003440 107966.933405 112017.110907 90445.112210
2014 04 14 11 59 00 88071.835336 107966.981613 112016.837768 90445.232678
2014 04 21 11 59 00 88071.781042 107967.049148 112017.010189 90445.364806
2014 04 22 11 59 00 88071.814481 107967.065854 112016.952036 90445.526488
2014 04 23 11 59 00 88072.022576 107966.968711 112017.080903 90445.361945
2014 04 24 11 59 00 88071.900521 107967.055736 112017.235114 90445.551511
2014 04 25 11 59 00 88071.944614 107966.978531 112017.100617 90445.372823
2014 04 26 11 59 00 88071.904924 107966.929071 112016.831938 90445.571130
2014 04 27 11 59 00 88072.122608 107966.950968 112017.125617 90445.455339
2014 04 28 11 59 00 88071.776671 107967.115934 112016.956778 90445.651390
2014 04 29 11 59 00 88072.042533 107967.234410 112017.192365 90445.661045
2014 04 30 11 59 00 88071.947561 107966.984454 112016.970302 90445.365854
2014 05 01 11 59 00 88071.979589 107967.051119 112016.961368 90445.427863
2014 05 02 11 59 00 88071.791115 107967.050208 112016.948624 90445.405192
2014 05 03 11 59 00 88071.913856 107966.960068 112016.994298 90445.398241
2014 05 04 11 59 00 88071.973961 107967.002789 112017.068456 90445.240225
2014 05 05 11 59 00 88071.993340 107966.899358 112017.021658 90445.153823
2014 05 06 11 59 00 88071.850787 107967.003027 112016.928438 90445.526429
2014 05 07 11 59 00 88071.986427 107966.751631 112016.929910 90444.956656
2014 05 08 11 59 00 88071.923063 107966.911536 112016.830695 90445.161502
2014 05 09 11 59 00 88071.776330 107967.010952 112016.765311 90445.543686
2014 05 10 11 59 00 88071.937300 107966.882223 112016.940797 90445.484120
2014 05 11 11 59 00 88072.075322 107967.089166 112017.142247 90445.617419
2014 05 12 11 59 00 88071.875167 107966.887138 112016.988111 90445.492435
2014 05 13 11 59 00 88071.998017 107967.026493 112017.211177 90445.608134
2014 05 14 11 59 00 88072.021160 107967.057404 112017.311061 90445.558581
2014 05 21 11 59 00 88071.816883 107967.068776 112016.887256 90445.639656
2014 05 22 11 59 00 88071.810439 107967.060710 112016.891436 90445.670629
2014 05 23 11 59 00 88072.039777 107967.120663 112017.162270 90445.823264
2014 05 24 11 59 00 88071.766083 107966.983918 112016.804016 90445.633744
2014 05 25 11 59 00 88071.731085 107966.938212 112016.835204 90445.583907
2014 05 26 11 59 00 88071.770329 107966.926514 112016.848921 90445.535828
2014 05 27 11 59 00 88071.817785 107966.864890 112016.903248 90445.507249
2014 05 28 11 59 00 88071.826323 107966.730783 112016.950856 90445.266501
2014 05 29 11 59 00 88072.013615 107966.974573 112016.997398 90445.343045
2014 05 30 11 59 00 88071.779477 107966.830162 112016.774376 90445.120489
2014 05 31 11 59 00 88071.730511 107966.919226 112016.726033 90445.302174
2014 06 01 11 59 00 88071.724024 107966.938011 112016.701933 90445.604194
2014 06 02 11 59 00 88072.041913 107967.023279 112016.933205 90445.548431
2014 06 03 11 59 00 88071.820476 107967.333024 112016.781628 90445.905468
2014 06 04 11 59 00 88071.836642 107967.060311 112016.792571 90445.601252
2014 06 05 11 59 00 88071.693046 107966.952743 112016.667957 90445.614010
2014 06 06 11 59 00 88071.702935 107966.950451 112016.698035 90445.485740
2014 06 07 11 59 00 88071.733211 107966.959381 112016.793945 90445.452603
2014 06 08 11 59 00 88071.708107 107967.007925 112016.695320 90445.427222
2014 06 09 11 59 00 88071.773137 107967.025131 112016.634627 90445.565003
2014 06 10 11 59 00 88071.730524 107966.920553 112016.590179 90445.574091
2014 06 11 11 59 00 88071.745106 107967.038573 112016.658860 90445.660167
2014 06 12 11 59 00 88071.721254 107967.141035 112016.764030 90445.746784
2014 06 13 11 59 00 88071.930899 107967.050939 112016.874924 90445.644653
2014 06 14 11 59 00 88071.842851 107967.529144 112017.071549 90446.088316
2014 06 21 11 59 00 88074.863225 107974.173593 112043.148414 90450.419339
2014 06 22 11 59 00 88074.487264 107974.105578 112042.650512 90450.402618
2014 06 23 11 59 00 88074.551561 107974.001378 112042.513907 90450.343666
2014 06 24 11 59 00 88074.478494 107973.877973 112042.390547 90450.211526
2014 06 25 11 59 00 88074.572061 107973.764667 112042.265415 90450.105538
2014 06 26 11 59 00 88074.498667 107973.884188 112042.237107 90450.225493
2014 06 28 11 59 00 88074.399164 107973.851746 112042.110438 90450.178120
2014 06 29 11 59 00 88074.607739 107973.790729 112042.182692 90449.975682
2014 06 30 11 59 00 88074.328758 107973.787506 112041.980831 90449.907652
2014 07 01 11 59 00 88074.453695 107973.736743 112042.074704 90449.887945
2014 07 02 11 59 00 88074.559631 107974.004128 112042.227198 90450.096451
2014 07 03 11 59 00 88074.476436 107973.894775 112042.028941 90450.084882
2014 07 04 11 59 00 88074.363650 107973.934106 112042.080934 90449.934696
2014 07 05 11 59 00 88074.692209 107973.770657 112042.154166 90449.656807
2014 07 06 11 59 00 88074.611500 107973.637348 112042.049454 90449.611396
2014 07 07 11 59 00 88074.430409 107973.734379 112042.005492 90449.831259
2014 07 08 11 59 00 88074.311874 107973.630171 112041.934435 90450.034836
2014 07 09 11 59 00 88074.521647 107974.178721 112042.233091 90450.452003
2014 07 10 11 59 00 88074.472858 107973.748352 112041.731461 90449.921001
2014 07 11 11 59 00 88074.322388 107973.825148 112041.909760 90450.089674
2014 07 12 11 59 00 88074.394130 107973.761930 112041.868044 90450.087505
2014 07 13 11 59 00 88074.307100 107973.730371 112041.876593 90450.076515
2014 07 14 11 59 00 88074.623861 107973.887676 112042.047195 90450.246382
2014 07 22 11 59 00 88074.287489 107973.400304 112041.828678 90449.443401
2014 07 24 11 59 00 88074.450210 107973.559381 112042.007886 90449.562944
2014 07 25 11 59 00 88074.351081 107973.483577 112042.023143 90449.379137
