date,timestamp,GPS_BOMG-BORG_(cm),GPS_BOMG-DERG_(cm),GPS_BOMG-DSRG_(cm),Earthquakes_per_day,Label
2010-03-04,1642546800,14.8525850000005,25.6041770000011,46.3531270000094,4,
2010-03-05,1642546800,15.0559260000009,25.5728879999951,46.4588730000105,0,
2010-03-06,1642546800,15.0608599999978,25.5568780000031,46.7314719999995,0,
2010-03-07,1642546800,14.836267000006,25.714718999996,46.3554399999994,3,
2010-03-08,1642546800,14.7568339999998,25.5006600000052,46.2790550000063,0,
2010-03-09,1642546800,14.7524549999944,25.6520909999963,46.342582000012,2,
2010-03-10,1642546800,14.6226880000031,25.595113000003,46.3591730000044,1,
2010-03-11,1642546800,14.634917000003,25.318861000007,46.2286840000015,0,
2010-03-12,1642546800,14.4712679999939,25.3325900000054,46.147913000008,1,
2010-03-13,1642546800,14.5008499999967,25.3321629999991,46.1184210000065,5,
2010-03-14,1642546800,14.4949869999982,25.2768090000027,46.1883890000027,2,
2010-03-15,1642546800,14.5510729999951,25.4812780000066,46.0725180000009,1,
2010-03-16,1642546800,14.8739829999977,25.4599469999957,46.2947940000013,3,
2010-03-17,1642546800,14.6926590000076,25.1180259999965,45.9664790000097,0,
2010-03-18,1642546800,14.4578469999979,25.1423210000066,46.1730110000062,1,
2010-03-19,1642546800,14.6248809999961,25.133136000004,45.9200130000099,2,
2010-03-20,1642546800,14.4076679999998,25.0485990000016,45.7087690000044,3,
2010-03-21,1642546800,14.7545729999983,25.0587059999962,45.8849900000059,6,
2010-03-22,1642546800,14.3999250000052,24.9755109999969,45.7320910000126,6,
2010-03-23,1642546800,14.5406159999984,25.1425109999982,45.7344779999985,2,
2010-03-24,1642546800,14.5766560000047,24.8749499999976,45.7095540000009,0,
2010-03-25,1642546800,14.3359999999957,25.0131850000034,45.7409530000004,1,
2010-03-26,1642546800,14.4233830000012,24.7695209999947,45.5801190000057,1,
2010-03-27,1642546800,14.4775470000022,24.4706189999997,45.4893799999991,2,
2010-03-28,1642546800,14.3682059999992,24.8050380000059,45.5834620000096,4,
2010-03-29,1642546800,14.4185230000003,24.6674159999966,45.4511530000018,1,
2010-03-30,1642546800,14.5477240000037,25.8020329999999,45.6389860000054,4,
2010-03-31,1642546800,14.3753350000043,24.588631999999,45.39626400001,4,
2010-04-01,1642546800,14.3865420000075,24.940511000008,45.4678120000026,4,
2010-04-02,1642546800,14.1615969999984,24.2971090000065,45.2175350000034,3,
2010-04-03,1642546800,14.4469680000038,24.5312770000019,45.3355220000085,7,
2010-04-04,1642546800,14.399126999997,25.3616579999944,45.2380810000031,3,
2010-04-05,1642546800,14.431058999995,24.297596999997,45.1998580000072,7,
2010-04-06,1642546800,14.3849329999939,25.1664330000058,45.0894899999985,7,
2010-04-07,1642546800,14.4121989999985,24.5708679999952,45.1630710000027,0,
2010-04-08,1642546800,14.3509570000024,23.6897400000016,45.1358949999994,2,
2010-04-09,1642546800,14.5780590000068,23.6800890000013,45.4418370000058,1,
2010-04-10,1642546800,14.3974770000059,24.1559370000032,45.1879719999997,1,
2010-04-11,1642546800,14.5519970000023,24.0175690000033,45.0897900000127,6,
2010-04-12,1642546800,14.507534999997,23.9332699999941,44.8319540000084,5,
2010-04-13,1642546800,14.2622120000015,23.832945999995,44.9775650000083,1,
2010-04-14,1642546800,14.2765440000076,23.9190249999956,45.0476510000008,5,
2010-04-15,1642546800,14.3757570000016,23.7954339999997,44.9322030000039,5,
2010-04-16,1642546800,14.1220190000022,24.0054400000081,45.0817530000059,5,
2010-04-17,1642546800,14.5297739999951,23.1423910000012,45.0929190000024,9,
2010-04-18,1642546800,14.3790270000027,23.4400800000003,44.9370869999984,5,
2010-04-19,1642546800,14.4761469999939,23.3568519999972,44.8525930000033,3,
2010-04-20,1642546800,14.2613050000073,23.3331840000028,44.803694000002,4,
2010-04-21,1642546800,14.3364770000044,23.5576830000064,44.9543660000054,1,
2010-04-22,1642546800,14.2331390000036,23.1924969999964,44.768842000005,1,
2010-04-23,1642546800,14.2713879999938,23.2208660000033,44.7337740000075,1,
2010-04-24,1642546800,14.1316550000047,23.6357080000016,44.63534600001,2,
2010-04-25,1642546800,14.3708389999956,23.5038900000072,44.7391350000107,4,
2010-04-26,1642546800,14.5093369999959,23.4759159999958,44.6748430000007,2,
2010-04-27,1642546800,14.0718300000008,23.1744610000023,44.7922630000103,1,
2010-04-28,1642546800,14.0669820000039,23.3564199999964,44.5512710000039,1,
2010-04-29,1642546800,13.9982330000057,23.0305190000072,44.5055229999998,0,
2010-04-30,1642546800,14.0455939999956,22.6168389999948,44.4179950000107,0,
2010-05-01,1642546800,13.9884199999942,23.1743069999939,44.4258580000023,6,
2010-05-02,1642546800,14.144312000004,22.9059969999944,44.6316380000062,0,
2010-05-03,1642546800,13.9757240000035,22.8546849999984,44.295059000011,1,
2010-05-04,1642546800,13.9170830000076,23.2336000000068,44.2693040000013,4,
2010-05-05,1642546800,13.9414439999964,23.2687480000022,44.3192910000071,8,
2010-05-06,1642546800,14.2737289999932,23.3039250000002,44.4445410000044,10,
2010-05-07,1642546800,14.0788020000036,23.3307460000069,44.2825240000093,10,
2010-05-08,1642546800,14.0904250000021,22.9589720000076,44.2090510000126,6,
2010-05-09,1642546800,14.2452749999939,23.0961470000038,44.1845440000034,3,
2010-05-10,1642546800,14.1230400000059,23.241995999997,44.1776519999985,3,
